[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.02%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.02%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     0.00%     45.5MiB / 7.69GiB    0.58%     613kB / 1.93MB   230MB / 1.16MB    12
95c485ee1bfd   spark-master     0.00%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.02%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.02%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     0.00%     45.5MiB / 7.69GiB    0.58%     613kB / 1.93MB   230MB / 1.16MB    12
95c485ee1bfd   spark-master     0.00%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.13%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.14%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     17.48%    54.66MiB / 7.69GiB   0.69%     613kB / 1.93MB   232MB / 1.16MB    12
95c485ee1bfd   spark-master     0.14%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.13%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.14%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     17.48%    54.66MiB / 7.69GiB   0.69%     613kB / 1.93MB   232MB / 1.16MB    12
95c485ee1bfd   spark-master     0.14%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.10%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.10%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     62.13%    146MiB / 7.69GiB     1.85%     613kB / 1.93MB   233MB / 1.16MB    13
95c485ee1bfd   spark-master     0.10%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.10%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.10%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     62.13%    146MiB / 7.69GiB     1.85%     613kB / 1.93MB   233MB / 1.16MB    13
95c485ee1bfd   spark-master     0.10%     144.5MiB / 7.69GiB   1.83%     114kB / 28.2kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.14%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.14%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     27.63%    159.1MiB / 7.69GiB   2.02%     613kB / 1.93MB   239MB / 1.16MB    13
95c485ee1bfd   spark-master     0.14%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.14%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.14%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     27.63%    159.1MiB / 7.69GiB   2.02%     613kB / 1.93MB   239MB / 1.16MB    13
95c485ee1bfd   spark-master     0.14%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.13%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.13%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     15.17%    163.4MiB / 7.69GiB   2.07%     613kB / 1.93MB   241MB / 1.16MB    13
95c485ee1bfd   spark-master     0.13%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.13%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.13%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     15.17%    163.4MiB / 7.69GiB   2.07%     613kB / 1.93MB   241MB / 1.16MB    13
95c485ee1bfd   spark-master     0.13%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.12%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.12%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     14.51%    170.9MiB / 7.69GiB   2.17%     613kB / 1.93MB   250MB / 1.16MB    18
95c485ee1bfd   spark-master     0.12%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.12%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.12%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     14.51%    170.9MiB / 7.69GiB   2.17%     613kB / 1.93MB   250MB / 1.16MB    18
95c485ee1bfd   spark-master     0.12%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.12%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.13%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     29.68%    182.1MiB / 7.69GiB   2.31%     613kB / 1.93MB   258MB / 1.16MB    28
95c485ee1bfd   spark-master     0.11%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.12%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.13%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     29.68%    182.1MiB / 7.69GiB   2.31%     613kB / 1.93MB   258MB / 1.16MB    28
95c485ee1bfd   spark-master     0.11%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
6873ea5a3c42   spark-worker-2   0.15%     518.3MiB / 7.69GiB   6.58%     283MB / 283MB    379MB / 5.17MB    45
db9262e097b8   spark-worker-1   0.12%     314.7MiB / 7.69GiB   4.00%     284MB / 283MB    187MB / 1.16MB    45
7a180f68804b   spark-driver     21.39%    191.1MiB / 7.69GiB   2.43%     613kB / 1.93MB   270MB / 1.16MB    28
95c485ee1bfd   spark-master     0.13%     144.5MiB / 7.69GiB   1.83%     114kB / 28.3kB   32.3MB / 32.8kB   44
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT    MEM %     NET I/O          BLOCK I/O         PIDS
