[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     0.01%     218.6MiB / 1GiB     21.34%    1.65MB / 4.26MB   43.4MB / 1.68MB   16
00e68c3d4611   spark-worker-6   0.09%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.09%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.09%     190.3MiB / 1GiB     18.58%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.09%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.09%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.10%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     0.01%     218.6MiB / 1GiB     21.34%    1.65MB / 4.26MB   43.4MB / 1.68MB   16
00e68c3d4611   spark-worker-6   0.09%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.09%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.09%     190.3MiB / 1GiB     18.58%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.09%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.09%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.10%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     102.11%   249.6MiB / 1GiB     24.38%    1.65MB / 4.26MB   49.8MB / 1.68MB   17
00e68c3d4611   spark-worker-6   0.13%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.10%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.09%     190.4MiB / 1GiB     18.59%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.12%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.10%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.12%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     102.11%   249.6MiB / 1GiB     24.38%    1.65MB / 4.26MB   49.8MB / 1.68MB   17
00e68c3d4611   spark-worker-6   0.13%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.10%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.09%     190.4MiB / 1GiB     18.59%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.12%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.10%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.12%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
1ceec149a78c   spark-driver     97.91%    280MiB / 1GiB       27.34%    1.65MB / 4.26MB   53.3MB / 1.69MB   35
00e68c3d4611   spark-worker-6   0.07%     66.29MiB / 1GiB     6.47%     174MB / 197MB     272MB / 592MB     31
73bf2fc7d910   spark-worker-4   0.12%     199.1MiB / 1GiB     19.45%    160MB / 177MB     13.8MB / 25.1MB   32
f841a1fea1b2   spark-worker-2   0.13%     190.4MiB / 1GiB     18.59%    153MB / 168MB     10.5MB / 12.8MB   31
4e5b5483ed2f   spark-worker-3   0.08%     233.9MiB / 1GiB     22.85%    170MB / 153MB     56.7MB / 27.6MB   32
4896f71aef73   spark-worker-5   0.08%     199.8MiB / 1GiB     19.51%    200MB / 171MB     19MB / 14.4MB     32
f34e9addb485   spark-worker-1   0.07%     90.46MiB / 1GiB     8.83%     197MB / 187MB     111MB / 289MB     32
a5264a101823   spark-master     0.10%     172.9MiB / 1GiB     16.89%    450kB / 85.3kB    1.76MB / 647kB    28
