[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     0.00%     300.1MiB / 1GiB     29.31%    8.75kB / 5.11kB   6.71MB / 36.9kB   56
11964334ba78   spark-worker-3   0.10%     185MiB / 1GiB       18.07%    330MB / 305MB     7.97MB / 71.1MB   41
0f3921b142f1   spark-worker-1   0.10%     170.9MiB / 1GiB     16.69%    293MB / 326MB     2.51MB / 63.8MB   34
32b8509ddfd9   spark-worker-6   0.10%     193.4MiB / 1GiB     18.89%    307MB / 351MB     2.16MB / 52MB     45
dfa8d3d7f2a8   spark-worker-2   0.11%     117MiB / 1GiB       11.42%    341MB / 312MB     63.4MB / 205MB    33
67845b7d52e2   spark-worker-4   0.10%     180.9MiB / 1GiB     17.67%    301MB / 285MB     12.4MB / 56MB     36
ffd9bf1f6a5f   spark-worker-5   0.10%     51.6MiB / 1GiB      5.04%     319MB / 305MB     36.7MB / 216MB    32
6fcd49ee3b4b   spark-master     4.97%     175.5MiB / 1GiB     17.14%    806kB / 179kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     0.00%     300.1MiB / 1GiB     29.31%    8.75kB / 5.11kB   6.71MB / 36.9kB   56
11964334ba78   spark-worker-3   0.10%     185MiB / 1GiB       18.07%    330MB / 305MB     7.97MB / 71.1MB   41
0f3921b142f1   spark-worker-1   0.10%     170.9MiB / 1GiB     16.69%    293MB / 326MB     2.51MB / 63.8MB   34
32b8509ddfd9   spark-worker-6   0.10%     193.4MiB / 1GiB     18.89%    307MB / 351MB     2.16MB / 52MB     45
dfa8d3d7f2a8   spark-worker-2   0.11%     117MiB / 1GiB       11.42%    341MB / 312MB     63.4MB / 205MB    33
67845b7d52e2   spark-worker-4   0.10%     180.9MiB / 1GiB     17.67%    301MB / 285MB     12.4MB / 56MB     36
ffd9bf1f6a5f   spark-worker-5   0.10%     51.6MiB / 1GiB      5.04%     319MB / 305MB     36.7MB / 216MB    32
6fcd49ee3b4b   spark-master     4.97%     175.5MiB / 1GiB     17.14%    806kB / 179kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     51.36%    317.7MiB / 1GiB     31.02%    15.7kB / 5.84kB   7.18MB / 36.9kB   63
11964334ba78   spark-worker-3   83.22%    261.8MiB / 1GiB     25.56%    330MB / 305MB     7.97MB / 71.1MB   48
0f3921b142f1   spark-worker-1   72.24%    243.6MiB / 1GiB     23.79%    293MB / 326MB     2.53MB / 63.8MB   48
32b8509ddfd9   spark-worker-6   81.47%    267.7MiB / 1GiB     26.14%    307MB / 351MB     2.19MB / 52MB     47
dfa8d3d7f2a8   spark-worker-2   74.82%    190.3MiB / 1GiB     18.59%    341MB / 312MB     63.7MB / 205MB    48
67845b7d52e2   spark-worker-4   80.71%    258.9MiB / 1GiB     25.28%    301MB / 285MB     12.4MB / 56MB     48
ffd9bf1f6a5f   spark-worker-5   39.02%    100.6MiB / 1GiB     9.82%     319MB / 305MB     48.2MB / 216MB    48
6fcd49ee3b4b   spark-master     2.79%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     51.36%    317.7MiB / 1GiB     31.02%    15.7kB / 5.84kB   7.18MB / 36.9kB   63
11964334ba78   spark-worker-3   83.22%    261.8MiB / 1GiB     25.56%    330MB / 305MB     7.97MB / 71.1MB   48
0f3921b142f1   spark-worker-1   72.24%    243.6MiB / 1GiB     23.79%    293MB / 326MB     2.53MB / 63.8MB   48
32b8509ddfd9   spark-worker-6   81.47%    267.7MiB / 1GiB     26.14%    307MB / 351MB     2.19MB / 52MB     47
dfa8d3d7f2a8   spark-worker-2   74.82%    190.3MiB / 1GiB     18.59%    341MB / 312MB     63.7MB / 205MB    48
67845b7d52e2   spark-worker-4   80.71%    258.9MiB / 1GiB     25.28%    301MB / 285MB     12.4MB / 56MB     48
ffd9bf1f6a5f   spark-worker-5   39.02%    100.6MiB / 1GiB     9.82%     319MB / 305MB     48.2MB / 216MB    48
6fcd49ee3b4b   spark-master     2.79%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     0.58%     317.7MiB / 1GiB     31.02%    15.8kB / 5.84kB   7.18MB / 36.9kB   63
11964334ba78   spark-worker-3   78.48%    282MiB / 1GiB       27.54%    330MB / 305MB     7.97MB / 71.1MB   48
0f3921b142f1   spark-worker-1   88.14%    269MiB / 1GiB       26.27%    293MB / 326MB     2.53MB / 63.8MB   48
32b8509ddfd9   spark-worker-6   93.75%    291.6MiB / 1GiB     28.48%    307MB / 351MB     2.19MB / 52MB     47
dfa8d3d7f2a8   spark-worker-2   77.27%    212.8MiB / 1GiB     20.78%    341MB / 312MB     63.7MB / 205MB    48
67845b7d52e2   spark-worker-4   86.38%    281.6MiB / 1GiB     27.50%    301MB / 285MB     12.4MB / 56MB     48
ffd9bf1f6a5f   spark-worker-5   71.27%    147.9MiB / 1GiB     14.45%    319MB / 305MB     48.2MB / 216MB    48
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     0.58%     317.7MiB / 1GiB     31.02%    15.8kB / 5.84kB   7.18MB / 36.9kB   63
11964334ba78   spark-worker-3   78.48%    282MiB / 1GiB       27.54%    330MB / 305MB     7.97MB / 71.1MB   48
0f3921b142f1   spark-worker-1   88.14%    269MiB / 1GiB       26.27%    293MB / 326MB     2.53MB / 63.8MB   48
32b8509ddfd9   spark-worker-6   93.75%    291.6MiB / 1GiB     28.48%    307MB / 351MB     2.19MB / 52MB     47
dfa8d3d7f2a8   spark-worker-2   77.27%    212.8MiB / 1GiB     20.78%    341MB / 312MB     63.7MB / 205MB    48
67845b7d52e2   spark-worker-4   86.38%    281.6MiB / 1GiB     27.50%    301MB / 285MB     12.4MB / 56MB     48
ffd9bf1f6a5f   spark-worker-5   71.27%    147.9MiB / 1GiB     14.45%    319MB / 305MB     48.2MB / 216MB    48
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     9.89%     334.5MiB / 1GiB     32.67%    22.3kB / 11.8kB   7.18MB / 36.9kB   64
11964334ba78   spark-worker-3   78.46%    302.5MiB / 1GiB     29.54%    330MB / 305MB     7.97MB / 71.1MB   52
0f3921b142f1   spark-worker-1   76.87%    290.2MiB / 1GiB     28.34%    293MB / 326MB     2.53MB / 63.8MB   51
32b8509ddfd9   spark-worker-6   84.88%    328.1MiB / 1GiB     32.04%    307MB / 351MB     2.22MB / 52MB     51
dfa8d3d7f2a8   spark-worker-2   80.74%    237.8MiB / 1GiB     23.22%    341MB / 312MB     63.7MB / 205MB    51
67845b7d52e2   spark-worker-4   72.68%    300.9MiB / 1GiB     29.39%    301MB / 285MB     12.4MB / 56MB     52
ffd9bf1f6a5f   spark-worker-5   86.76%    170.7MiB / 1GiB     16.67%    319MB / 305MB     48.2MB / 216MB    49
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
167af3246f06   spark-driver     9.89%     334.5MiB / 1GiB     32.67%    22.3kB / 11.8kB   7.18MB / 36.9kB   64
11964334ba78   spark-worker-3   78.46%    302.5MiB / 1GiB     29.54%    330MB / 305MB     7.97MB / 71.1MB   52
0f3921b142f1   spark-worker-1   76.87%    290.2MiB / 1GiB     28.34%    293MB / 326MB     2.53MB / 63.8MB   51
32b8509ddfd9   spark-worker-6   84.88%    328.1MiB / 1GiB     32.04%    307MB / 351MB     2.22MB / 52MB     51
dfa8d3d7f2a8   spark-worker-2   80.74%    237.8MiB / 1GiB     23.22%    341MB / 312MB     63.7MB / 205MB    51
67845b7d52e2   spark-worker-4   72.68%    300.9MiB / 1GiB     29.39%    301MB / 285MB     12.4MB / 56MB     52
ffd9bf1f6a5f   spark-worker-5   86.76%    170.7MiB / 1GiB     16.67%    319MB / 305MB     48.2MB / 216MB    49
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB     1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     19.87%    337.7MiB / 1GiB     32.98%    285kB / 52.8kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   72.81%    336.5MiB / 1GiB     32.86%    330MB / 305MB    7.99MB / 71.1MB   59
0f3921b142f1   spark-worker-1   83.22%    326.1MiB / 1GiB     31.84%    293MB / 326MB    2.53MB / 63.8MB   62
32b8509ddfd9   spark-worker-6   57.70%    344.8MiB / 1GiB     33.67%    307MB / 351MB    2.22MB / 52MB     61
dfa8d3d7f2a8   spark-worker-2   87.84%    270.8MiB / 1GiB     26.44%    341MB / 312MB    63.7MB / 205MB    60
67845b7d52e2   spark-worker-4   73.26%    335.4MiB / 1GiB     32.75%    301MB / 285MB    12.4MB / 56MB     62
ffd9bf1f6a5f   spark-worker-5   87.16%    205MiB / 1GiB       20.02%    319MB / 305MB    48.2MB / 216MB    53
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     19.87%    337.7MiB / 1GiB     32.98%    285kB / 52.8kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   72.81%    336.5MiB / 1GiB     32.86%    330MB / 305MB    7.99MB / 71.1MB   59
0f3921b142f1   spark-worker-1   83.22%    326.1MiB / 1GiB     31.84%    293MB / 326MB    2.53MB / 63.8MB   62
32b8509ddfd9   spark-worker-6   57.70%    344.8MiB / 1GiB     33.67%    307MB / 351MB    2.22MB / 52MB     61
dfa8d3d7f2a8   spark-worker-2   87.84%    270.8MiB / 1GiB     26.44%    341MB / 312MB    63.7MB / 205MB    60
67845b7d52e2   spark-worker-4   73.26%    335.4MiB / 1GiB     32.75%    301MB / 285MB    12.4MB / 56MB     62
ffd9bf1f6a5f   spark-worker-5   87.16%    205MiB / 1GiB       20.02%    319MB / 305MB    48.2MB / 216MB    53
6fcd49ee3b4b   spark-master     0.06%     175.6MiB / 1GiB     17.14%    814kB / 187kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     6.49%     337.9MiB / 1GiB     32.99%    929kB / 64.9kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   13.11%    338.6MiB / 1GiB     33.06%    330MB / 305MB    7.99MB / 71.1MB   62
0f3921b142f1   spark-worker-1   5.63%     327.9MiB / 1GiB     32.02%    293MB / 326MB    2.53MB / 63.8MB   62
32b8509ddfd9   spark-worker-6   3.01%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
dfa8d3d7f2a8   spark-worker-2   9.89%     272.1MiB / 1GiB     26.57%    341MB / 312MB    63.7MB / 205MB    62
67845b7d52e2   spark-worker-4   1.00%     335.5MiB / 1GiB     32.76%    301MB / 285MB    12.4MB / 56MB     62
ffd9bf1f6a5f   spark-worker-5   41.99%    218.4MiB / 1GiB     21.33%    319MB / 305MB    48.8MB / 216MB    62
6fcd49ee3b4b   spark-master     0.10%     175.6MiB / 1GiB     17.14%    814kB / 187kB    1.25MB / 872kB    28
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O          BLOCK I/O         PIDS
167af3246f06   spark-driver     6.49%     337.9MiB / 1GiB     32.99%    929kB / 64.9kB   7.19MB / 36.9kB   64
11964334ba78   spark-worker-3   13.11%    338.6MiB / 1GiB     33.06%    330MB / 305MB    7.99MB / 71.1MB   62
0f3921b142f1   spark-worker-1   5.63%     327.9MiB / 1GiB     32.02%    293MB / 326MB    2.53MB / 63.8MB   62
32b8509ddfd9   spark-worker-6   3.01%     345MiB / 1GiB       33.69%    307MB / 351MB    2.22MB / 52MB     60
