[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.00%     156.7MiB / 1GiB     15.30%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.00%     156.9MiB / 1GiB     15.32%    3.05kB / 4.37kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.15%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.00%     157.6MiB / 1GiB     15.39%    3.05kB / 4.37kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.00%     158MiB / 1GiB       15.43%    3.05kB / 4.37kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.00%     157.2MiB / 1GiB     15.35%    3.05kB / 4.37kB   0B / 32.8kB       31
212495591b58   spark-master     0.00%     156.7MiB / 1GiB     15.30%    26.8kB / 13.3kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     0.00%     207.9MiB / 1GiB     20.30%    1.06kB / 0B       0B / 32.8kB       15
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.00%     156.7MiB / 1GiB     15.30%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.00%     156.9MiB / 1GiB     15.32%    3.05kB / 4.37kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.15%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.00%     157.6MiB / 1GiB     15.39%    3.05kB / 4.37kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.00%     158MiB / 1GiB       15.43%    3.05kB / 4.37kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.00%     157.2MiB / 1GiB     15.35%    3.05kB / 4.37kB   0B / 32.8kB       31
212495591b58   spark-master     0.00%     156.7MiB / 1GiB     15.30%    26.8kB / 13.3kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     0.00%     207.9MiB / 1GiB     20.30%    1.06kB / 0B       0B / 32.8kB       15
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.13%     156.7MiB / 1GiB     15.30%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.10%     156.9MiB / 1GiB     15.32%    3.05kB / 4.37kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.10%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.11%     157.6MiB / 1GiB     15.39%    3.05kB / 4.37kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.10%     158MiB / 1GiB       15.43%    3.05kB / 4.37kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.11%     157.2MiB / 1GiB     15.35%    3.05kB / 4.37kB   0B / 32.8kB       31
212495591b58   spark-master     0.11%     156.7MiB / 1GiB     15.30%    26.8kB / 13.3kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     92.05%    236.3MiB / 1GiB     23.07%    1.06kB / 0B       0B / 36.9kB       19
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.13%     156.7MiB / 1GiB     15.30%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.10%     156.9MiB / 1GiB     15.32%    3.05kB / 4.37kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.10%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.11%     157.6MiB / 1GiB     15.39%    3.05kB / 4.37kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.10%     158MiB / 1GiB       15.43%    3.05kB / 4.37kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.11%     157.2MiB / 1GiB     15.35%    3.05kB / 4.37kB   0B / 32.8kB       31
212495591b58   spark-master     0.11%     156.7MiB / 1GiB     15.30%    26.8kB / 13.3kB   69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     92.05%    236.3MiB / 1GiB     23.07%    1.06kB / 0B       0B / 36.9kB       19
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.14%     156.7MiB / 1GiB     15.30%    3.09kB / 4.41kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.10%     156.9MiB / 1GiB     15.32%    3.09kB / 4.41kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.12%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.09%     157.6MiB / 1GiB     15.39%    3.09kB / 4.41kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.12%     158MiB / 1GiB       15.43%    3.09kB / 4.41kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.15%     157.2MiB / 1GiB     15.35%    3.09kB / 4.41kB   0B / 32.8kB       31
212495591b58   spark-master     0.12%     156.7MiB / 1GiB     15.30%    27kB / 13.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     101.98%   267.2MiB / 1GiB     26.10%    1.13kB / 0B       0B / 36.9kB       46
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   0.14%     156.7MiB / 1GiB     15.30%    3.09kB / 4.41kB   12.3kB / 32.8kB   32
8ee8b1918745   spark-worker-6   0.10%     156.9MiB / 1GiB     15.32%    3.09kB / 4.41kB   0B / 32.8kB       32
f279d8f9bfc6   spark-worker-4   0.12%     158.4MiB / 1GiB     15.46%    3.05kB / 4.37kB   12.3kB / 32.8kB   32
5412fb2fa9ee   spark-worker-1   0.09%     157.6MiB / 1GiB     15.39%    3.09kB / 4.41kB   12.3kB / 32.8kB   31
c59af1fb5af2   spark-worker-2   0.12%     158MiB / 1GiB       15.43%    3.09kB / 4.41kB   0B / 32.8kB       31
75b0d3f29b1b   spark-worker-5   0.15%     157.2MiB / 1GiB     15.35%    3.09kB / 4.41kB   0B / 32.8kB       31
212495591b58   spark-master     0.12%     156.7MiB / 1GiB     15.30%    27kB / 13.5kB     69.6kB / 32.8kB   30
1ceec149a78c   spark-driver     101.98%   267.2MiB / 1GiB     26.10%    1.13kB / 0B       0B / 36.9kB       46
[2J[HCONTAINER ID   NAME             CPU %     MEM USAGE / LIMIT   MEM %     NET I/O           BLOCK I/O         PIDS
ead9d0dc4b5f   spark-worker-3   46.30%    204.8MiB / 1GiB     20.00%    6.2kB / 6.4kB     12.3kB / 32.8kB   48
8ee8b1918745   spark-worker-6   57.02%    213.2MiB / 1GiB     20.82%    6.2kB / 6.4kB     0B / 32.8kB       48
f279d8f9bfc6   spark-worker-4   47.61%    205.4MiB / 1GiB     20.06%    6.16kB / 6.36kB   65.5kB / 32.8kB   48
